source,target,weight,match,type
Monkey,Kira,1,0,Directed
feeder,._.,1,71,Directed
Miracle-,4Head,1,86,Directed
Fluffy,Horse,1,121,Directed
Arbi,Chill,1,144,Directed
Arbi,Psycho,1,144,Directed
Stallon,Reaper,1,179,Directed
#ano.Ainsley Kek,Dictionaries,1,204,Directed
Ho랑이,XXX,1,208,Directed
Hyy,...,1,240,Directed
Hyy,Lặng Lẽ Tổn Thương,1,240,Directed
Hyy,Sleeping_[D]og,1,240,Directed
Hyy,bwew,1,240,Directed
Arbi,Rawdog,1,242,Directed
Harry,Saitama,1,307,Directed
Ellimist,Shade,1,325,Directed
????????,Tensai >.<,1,326,Directed
Lepo Lepo,A Wild Smurf,1,331,Directed
Lepo Lepo,Memories,1,331,Directed
Lepo Lepo,Spooderman,1,331,Directed
Pineapple KAMIKAZE,.,5,381,Directed
TINKLES,Lelouch,4,397,Directed
TINKLES,†,4,397,Directed
TINKLES,攀登,4,397,Directed
Tensai >.<,123,3,420,Directed
...,Hatsune Miku,2,423,Directed
Dr.X,w33,5,434,Directed
A,..,1,456,Directed
Sleeping_[D]og,Hyy,2,460,Directed
Sleeping_[D]og,JOHN CENA,2,460,Directed
Sleeping_[D]og,bwew,2,460,Directed
Pineapple KAMIKAZE,Aeon,6,476,Directed
< blank >,Panda,1,477,Directed
M,...............................,1,490,Directed
Onions123,kellyMONKEYS,3,533,Directed
Captain America,Law,1,565,Directed
Captain America,Thanatael,1,565,Directed
Captain America,cocodino,1,565,Directed
Logic,PUNX,1,573,Directed
Jiten,JAFAR,1,579,Directed
dream is ded,LOVE-is-EZ but I hate you,1,593,Directed
RED,w/e,4,605,Directed
RED,yolowarrior,4,605,Directed
asdf,Apple,1,608,Directed
322,Saitama,1,632,Directed
Jesus,LOL,2,654,Directed
Ceyler,QQ,1,656,Directed
Gary,Alucard,2,670,Directed
Baxter,Madara,2,677,Directed
4Head,=),1,684,Directed
AirmailMRCOOL,Noob,1,685,Directed
Fred,Ｂ Ｅ Ｎ Ｎ,1,697,Directed
West Street Variety,Valar Morghulis,1,727,Directed
1,?,1,729,Directed
1,Jerry,1,729,Directed
Rorschach,0.0,2,739,Directed
Rorschach,9/10,2,739,Directed
Death,Psycho,1,773,Directed
Nero,Andy,1,777,Directed
Lucifer,trollfederer,2,802,Directed
Myrmidon,yolo,1,810,Directed
Sorry,The Seven Deadly Sins,1,850,Directed
D4D.EldestDad.420,One Punch!,2,863,Directed
rKaiser,YOLO,1,864,Directed
1017,Mayhem,1,924,Directed
Nexr,Totti#Smauking dat Seaweed,1,930,Directed
D.,NB,1,956,Directed
???,leasey^,1,1009,Directed
Uldred,asd,2,1023,Directed
J.,brodericoh,1,1041,Directed
No more heroes,Kira,1,1050,Directed
Kirito,Mortal Vengeance,2,1057,Directed
22,DoctorVox,1,1115,Directed
Grom,Jon,3,1119,Directed
Coco,K,1,1120,Directed
D4D.EldestDad.420,Hans Moleman,2,1123,Directed
Fayher,Rampage,2,1143,Directed
1738,MïќE LtR,1,1152,Directed
1738,Tahurtz,1,1152,Directed
1738,ausoi,1,1152,Directed
Dontores`,GeGe,3,1158,Directed
Warrior,Hugs from Jewland,1,1197,Directed
Bob Ross,「Kushi」,1,1202,Directed
Ellimist,Pyro,2,1241,Directed
Ellimist,Shade,2,1241,Directed
Ellimist,StarScream -,2,1241,Directed
Windalfr,Flex Luthor,1,1374,Directed
322,Boobs-chan,1,1392,Directed
322,Moe-Chan,1,1392,Directed
twitch.tv/pesdota #Hope,G_G,2,1404,Directed
twitch.tv/pesdota #Hope,YBP,2,1404,Directed
Ragnar,Omega,1,1422,Directed
Dontores`,Lucifer,1,1423,Directed
Bum bum - Bot,Sugy,1,1428,Directed
