source,target,weight,match,type
Monkey,Kira,1,0,Directed
bourgeoisie,KingJonesGaming,1,6,Directed
bourgeoisie,Max Tryhard,1,6,Directed
^_^,Caped Baldy,2,65,Directed
^_^,XIII,2,65,Directed
Nate Higgers,confessor,2,74,Directed
feeder,._.,1,76,Directed
feeder,light orange,1,76,Directed
Kappa,Axosh,2,77,Directed
Axosh,Ð²,4,82,Directed
Louis Litt,Hey b0ss,1,86,Directed
melissachan♥,John Cena,1,88,Directed
Miracle-,4Head,1,91,Directed
123,art,1,92,Directed
Xin,carry please ty,3,103,Directed
Fluffy,Horse,1,126,Directed
Jiten,Insert,1,145,Directed
Arbi,Chill,1,149,Directed
Arbi,Psycho,1,149,Directed
yolowarrior,G_G,1,155,Directed
Jeff,AIR-EH-BUS,1,185,Directed
Jeff,Vishnup_,1,185,Directed
The Dude,nice la,2,186,Directed
Stallon,Reaper,1,190,Directed
Yoshi,jd,2,196,Directed
Jason,Skiller,1,202,Directed
#ano.Ainsley Kek,Dictionaries,1,217,Directed
Monster,Soffish,3,218,Directed
Ho랑이,XXX,1,221,Directed
turn right,Shiroe,2,224,Directed
turn right,rust,2,224,Directed
Deez_Nuts,Vern Vandamn,3,247,Directed
eunhwa,September,3,248,Directed
Hyy,...,1,255,Directed
Hyy,Lặng Lẽ Tổn Thương,1,255,Directed
Hyy,Sleeping_[D]og,1,255,Directed
Hyy,bwew,1,255,Directed
Arbi,Rawdog,1,257,Directed
...,A Wild Smurf,1,262,Directed
...,Memories,1,262,Directed
...,Spooderman,1,262,Directed
Sensei,BiG BaNaNna !,1,266,Directed
Sloth,Still ШṙȧϮЋ #PateHinoys,4,267,Directed
Sloth,spacemonkey,4,267,Directed
Monkey D. Luffy,Mr. Meeseeks,2,279,Directed
Monkey D. Luffy,Road to 4k,2,279,Directed
Monkey D. Luffy,Snipe Desu~,2,279,Directed
Yakuza,Silverly,3,289,Directed
Akashi Seijuro,Secret.Puppey,1,307,Directed
zzzzzzzzz,._.,1,322,Directed
confessor,West Street Variety,1,323,Directed
confessor,傻逼xy,1,323,Directed
Harry,Saitama,1,328,Directed
rust,Shiroe,1,329,Directed
rust,turn right,1,329,Directed
...,pyrofrantic,1,340,Directed
Ellimist,Shade,1,346,Directed
????????,Tensai >.<,1,347,Directed
Lepo Lepo,A Wild Smurf,1,352,Directed
Lepo Lepo,Memories,1,352,Directed
Lepo Lepo,Spooderman,1,352,Directed
WADE !!,...,2,355,Directed
< blank >,boo,1,359,Directed
haha,scantid,2,361,Directed
Ace,Dendi,1,374,Directed
A,Cobalt 60,2,377,Directed
ABC,Dark Star,2,380,Directed
Pineapple KAMIKAZE,.,5,405,Directed
chopstixZ,Rizwanovich,1,406,Directed
chopstixZ,SNAAAAKE,1,406,Directed
Rigby,0.0,1,415,Directed
TINKLES,Lelouch,4,421,Directed
TINKLES,†,4,421,Directed
TINKLES,攀登,4,421,Directed
Tensai >.<,123,3,445,Directed
...,Hatsune Miku,2,451,Directed
소녀시대-김태연,A.L,1,453,Directed
Dr.X,w33,5,462,Directed
confessor,Ephemeral,1,475,Directed
confessor,Moe,1,475,Directed
A,..,1,488,Directed
Sleeping_[D]og,Hyy,2,492,Directed
Sleeping_[D]og,JOHN CENA,2,492,Directed
Sleeping_[D]og,bwew,2,492,Directed
Pineapple KAMIKAZE,Aeon,6,509,Directed
< blank >,Panda,1,510,Directed
Monster,456,1,520,Directed
Monster,West Street Variety,1,520,Directed
JJ,猫NekO!,2,521,Directed
M,...............................,1,523,Directed
...,CUTNPASTE,2,535,Directed
MeerCat,Snow,3,540,Directed
GG,Marymar♥,1,558,Directed
J.,...,1,560,Directed
J.,Memories,1,560,Directed
J.,Spooderman,1,560,Directed
Onions123,kellyMONKEYS,3,569,Directed
MUTED,Weed,1,596,Directed
Captain America,Law,1,602,Directed
Captain America,Thanatael,1,602,Directed
Captain America,cocodino,1,602,Directed
preiddeu annwfn,♥,1,603,Directed
Monster,456,1,604,Directed
Monster,West Street Variety,1,604,Directed
Logic,=-~XenonSpherE~-=,1,611,Directed
Logic,PUNX,1,611,Directed
Jiten,JAFAR,1,617,Directed
Narcotix,[     ],1,619,Directed
dream is ded,LOVE-is-EZ but I hate you,1,635,Directed
Gaben,Rawdog,1,639,Directed
RED,w/e,4,648,Directed
RED,yolowarrior,4,648,Directed
asdf,Apple,1,651,Directed
bneutrality,Sigm4_,1,655,Directed
Arts,xD,2,657,Directed
322,Saitama,1,677,Directed
Jesus,LOL,2,701,Directed
Ceyler,QQ,1,703,Directed
Mirakuru,Chief,1,711,Directed
Gary,Alucard,2,719,Directed
cocodino,Captain America,1,721,Directed
cocodino,Thanatael,1,721,Directed
Baxter,Madara,2,726,Directed
4Head,=),1,733,Directed
AirmailMRCOOL,Noob,1,734,Directed
bneutrality,Savage,1,741,Directed
